@relation 'x'
@attribute 'LATITUDE' numeric
@attribute 'LONGITUDE' numeric
@attribute 'PARCELNO' numeric
@attribute 'SALE_PRC' numeric
@attribute 'LND_SQFOOT' numeric
@attribute 'TOT_LVG_AREA' numeric
@attribute 'SPEC_FEAT_VAL' numeric
@attribute 'RAIL_DIST' numeric
@attribute 'OCEAN_DIST' numeric
@attribute 'WATER_DIST' numeric
@attribute 'CNTR_DIST' numeric
@attribute 'SUBCNTR_DI' numeric
@attribute 'HWY_DIST' numeric
@attribute 'age' numeric
@attribute 'avno60plus' numeric
@attribute 'month_sold' numeric
@attribute 'structure_quality' numeric
@data
25.8910306063,-80.1605605249,3.07447204985007e-312,440000,9375,1753,0,2815.9,12811.4,347.6,42815.3,37742.2,15954.9,67,0,8,4
25.891324233,-80.1539675238,3.07447219727926e-312,349000,9375,1715,0,4359.1,10648.4,337.8,43504.9,37340.5,18125,63,0,9,4
25.8913341472,-80.153739502,3.07447219732866e-312,8e+05,9375,2276,49206,4412.9,10574.1,297.1,43530.4,37328.7,18200.5,61,0,2,4
25.8917646206,-80.1526571373,3.0744721976251e-312,988000,12450,2058,10033,4585,10156.5,0,43797.5,37423.2,18514.4,63,0,9,4
25.891824571,-80.1546394619,3.07447219599469e-312,755000,12800,1684,16681,4063.4,10836.8,326.6,43599.7,37550.8,17903.4,42,0,7,4
25.8920596966,-80.1613541539,3.07447204767618e-312,630000,9900,1531,2978,2391.4,13017,188.9,43135.1,38176.2,15687.2,41,0,2,4
25.8924726072,-80.1572166474,3.07447209668749e-312,1020000,10387,1753,23116,3277.4,11667.8,0,43598.7,37973.9,17068.2,63,0,2,5
25.8930187999,-80.1574258802,3.07447209816969e-312,850000,10272,1663,34933,3112.4,11718.1,10.5,43780.8,38198.3,16989.9,21,0,9,4
25.8930463777,-80.1615562769,3.07447209629224e-312,250000,9375,1493,11668,2081.8,13043.8,51.5,43481.7,38542,15623.3,56,0,3,4
25.8930495526,-80.1580476911,3.07447209802147e-312,1220000,13803,3077,34580,2937.7,11917.7,9.7,43730.1,38235.2,16787,63,0,11,5
25.8932048397,-80.1555378492,3.07447209856494e-312,1160000,10848,1983,28806,3512,11062.3,12.1,44018.8,38132.1,17618.3,64,0,2,4
25.8934605014,-80.1683697701,3.07452313465684e-312,260000,8438,1794,0,242.8,15310.4,738.6,43127.5,39333.4,13433.6,51,0,11,2
25.893526909,-80.1668569854,3.07452313426159e-312,178000,8438,1509,1248,652.2,14808.8,366.5,43244.6,39200.2,13927,56,0,7,2
25.8935304948,-80.1666650338,3.07452313421218e-312,250000,8438,1331,0,705,14750,353.2,43261.2,39184.8,13995.2,66,0,7,2
25.8941562568,-80.1590586955,3.07447210098586e-312,913500,8475,1742,9836,2432.6,12230.7,0,44047.7,38727.5,16494,46,0,9,5
25.8943570265,-80.1680434581,3.07452313356989e-312,159000,8375,1158,2677,164,15183.5,537.6,43467.9,39609.3,13555.8,65,0,11,2
25.8943648992,-80.16785559,3.07452313352049e-312,199000,8375,1064,6730,209.4,15119.1,473.2,43481.3,39591.8,13615.1,48,0,6,2
25.8944409224,-80.1611290865,3.07447209663808e-312,590000,9375,2574,37975,1847.6,12871,42,44007.1,38994.4,15786.3,62,0,10,4
25.8946643832,-80.1610606319,3.07447229386909e-312,450000,10625,1529,3607,1805.9,12840.6,43,44081.8,39058.8,15809.4,61,0,2,4
25.8954044487,-80.1544097829,3.07447229747577e-312,1870000,10875,4552,35124,3253.8,10645.2,0,44898.4,38841.8,18007.8,8,0,3,5
